obs_size=27 action_size=4
update=0001 avg_reward=+0.2823 avg_value=-0.1052 policy_loss=4.6972 value_loss=409.9301 entropy=88.3568
update=0002 avg_reward=+0.2632 avg_value=+0.4849 policy_loss=4.5633 value_loss=380.9315 entropy=88.7165
update=0003 avg_reward=+0.2637 avg_value=+0.7822 policy_loss=7.0041 value_loss=325.4761 entropy=89.0619
update=0004 avg_reward=+0.2573 avg_value=+2.4385 policy_loss=3.7075 value_loss=287.2182 entropy=89.3171
update=0005 avg_reward=+0.2633 avg_value=+2.3539 policy_loss=3.3885 value_loss=309.4666 entropy=89.4630
update=0006 avg_reward=+0.2626 avg_value=+3.6341 policy_loss=4.8893 value_loss=271.9805 entropy=89.6857
update=0007 avg_reward=+0.2628 avg_value=+4.6630 policy_loss=3.0744 value_loss=231.4271 entropy=89.9877
update=0008 avg_reward=+0.2647 avg_value=+6.5374 policy_loss=2.8064 value_loss=217.2142 entropy=90.2881
update=0009 avg_reward=+0.2642 avg_value=+7.2933 policy_loss=2.7657 value_loss=193.5025 entropy=90.5595
update=0010 avg_reward=+0.2632 avg_value=+8.1543 policy_loss=2.6394 value_loss=163.9413 entropy=90.7692
update=0011 avg_reward=+0.2643 avg_value=+9.0883 policy_loss=1.7394 value_loss=153.0623 entropy=90.9707
update=0012 avg_reward=+0.2652 avg_value=+10.0488 policy_loss=2.1643 value_loss=124.5811 entropy=91.1966
update=0013 avg_reward=+0.2657 avg_value=+11.1982 policy_loss=2.9414 value_loss=97.9050 entropy=91.4073
update=0014 avg_reward=+0.2687 avg_value=+12.7048 policy_loss=2.9802 value_loss=78.4339 entropy=91.6503
update=0015 avg_reward=+0.2725 avg_value=+14.0270 policy_loss=1.3528 value_loss=70.1696 entropy=91.9036
update=0016 avg_reward=+0.2736 avg_value=+14.9969 policy_loss=1.7325 value_loss=69.3549 entropy=92.1232
update=0017 avg_reward=+0.2727 avg_value=+15.7595 policy_loss=4.5294 value_loss=55.6529 entropy=92.2217
update=0018 avg_reward=+0.2748 avg_value=+16.6529 policy_loss=1.9019 value_loss=46.9809 entropy=92.3961
update=0019 avg_reward=+0.2762 avg_value=+17.4306 policy_loss=2.0074 value_loss=48.9538 entropy=92.6475
update=0020 avg_reward=+0.2770 avg_value=+18.1438 policy_loss=3.0144 value_loss=39.5882 entropy=92.8645
update=0021 avg_reward=+0.2750 avg_value=+18.7657 policy_loss=2.3525 value_loss=33.9737 entropy=93.0833
update=0022 avg_reward=+0.2751 avg_value=+19.5327 policy_loss=6.0407 value_loss=23.1785 entropy=93.3358
update=0023 avg_reward=+0.2702 avg_value=+20.3006 policy_loss=4.7247 value_loss=13.9043 entropy=93.7913
update=0024 avg_reward=+0.2741 avg_value=+21.2292 policy_loss=3.4680 value_loss=13.2082 entropy=94.1448
update=0025 avg_reward=+0.2785 avg_value=+21.7617 policy_loss=2.4081 value_loss=17.0897 entropy=94.3140
update=0026 avg_reward=+0.2759 avg_value=+22.0919 policy_loss=1.2610 value_loss=14.4652 entropy=94.4912
update=0027 avg_reward=+0.2760 avg_value=+22.4836 policy_loss=2.7428 value_loss=10.2772 entropy=94.7111
update=0028 avg_reward=+0.2764 avg_value=+22.9982 policy_loss=3.0145 value_loss=7.7193 entropy=95.0468
update=0029 avg_reward=+0.2764 avg_value=+23.4179 policy_loss=2.5462 value_loss=7.5795 entropy=95.3400
update=0030 avg_reward=+0.2727 avg_value=+23.7193 policy_loss=3.7327 value_loss=3.4744 entropy=95.6949
update=0031 avg_reward=+0.2711 avg_value=+24.3444 policy_loss=1.6388 value_loss=3.7029 entropy=96.1279
update=0032 avg_reward=+0.2694 avg_value=+24.6798 policy_loss=2.9593 value_loss=3.3799 entropy=96.5334
update=0033 avg_reward=+0.2650 avg_value=+24.9260 policy_loss=0.4449 value_loss=4.7949 entropy=96.6685
update=0034 avg_reward=+0.2650 avg_value=+25.0871 policy_loss=1.2082 value_loss=4.4402 entropy=96.7284
update=0035 avg_reward=+0.2642 avg_value=+25.2719 policy_loss=0.7542 value_loss=2.7575 entropy=96.7050
update=0036 avg_reward=+0.2636 avg_value=+25.4110 policy_loss=2.2924 value_loss=2.3052 entropy=96.8266
update=0037 avg_reward=+0.2643 avg_value=+25.6092 policy_loss=1.0357 value_loss=2.7476 entropy=97.5631
update=0038 avg_reward=+0.2630 avg_value=+25.6662 policy_loss=-0.1063 value_loss=2.3028 entropy=97.7739
update=0039 avg_reward=+0.2627 avg_value=+25.7749 policy_loss=1.1121 value_loss=1.7409 entropy=97.8339
update=0040 avg_reward=+0.2628 avg_value=+25.8343 policy_loss=1.0073 value_loss=1.4102 entropy=97.9460
update=0041 avg_reward=+0.2637 avg_value=+25.9213 policy_loss=0.7137 value_loss=1.0931 entropy=98.1181
update=0042 avg_reward=+0.2643 avg_value=+25.9929 policy_loss=1.8675 value_loss=0.8387 entropy=98.2048
update=0043 avg_reward=+0.2634 avg_value=+26.0537 policy_loss=0.2007 value_loss=1.4008 entropy=98.2950
update=0044 avg_reward=+0.2646 avg_value=+26.0908 policy_loss=0.9805 value_loss=0.8938 entropy=98.4043
update=0045 avg_reward=+0.2639 avg_value=+26.1483 policy_loss=0.5722 value_loss=0.9140 entropy=98.3994
update=0046 avg_reward=+0.2645 avg_value=+26.1628 policy_loss=0.6947 value_loss=1.4558 entropy=98.4303
update=0047 avg_reward=+0.2638 avg_value=+26.2276 policy_loss=1.1176 value_loss=1.1022 entropy=98.5597
update=0048 avg_reward=+0.2655 avg_value=+26.2716 policy_loss=0.7270 value_loss=0.4671 entropy=98.7602
update=0049 avg_reward=+0.2648 avg_value=+26.2985 policy_loss=3.0743 value_loss=0.4874 entropy=99.0647
update=0050 avg_reward=+0.2662 avg_value=+26.3742 policy_loss=1.0586 value_loss=0.4405 entropy=99.6393
update=0051 avg_reward=+0.2657 avg_value=+26.4011 policy_loss=1.1767 value_loss=0.5963 entropy=99.8134
update=0052 avg_reward=+0.2654 avg_value=+26.4324 policy_loss=2.5990 value_loss=0.5886 entropy=100.0294
update=0053 avg_reward=+0.2650 avg_value=+26.4541 policy_loss=1.3709 value_loss=0.8106 entropy=100.2481
update=0054 avg_reward=+0.2632 avg_value=+26.4732 policy_loss=0.5228 value_loss=0.8639 entropy=100.4596
update=0055 avg_reward=+0.2624 avg_value=+26.4588 policy_loss=2.5946 value_loss=0.7964 entropy=100.7542
update=0056 avg_reward=+0.2618 avg_value=+26.4564 policy_loss=0.6387 value_loss=0.6543 entropy=101.0082
update=0057 avg_reward=+0.2629 avg_value=+26.4562 policy_loss=1.8349 value_loss=0.3043 entropy=101.2430
update=0058 avg_reward=+0.2630 avg_value=+26.4368 policy_loss=0.8883 value_loss=0.4107 entropy=101.4657
update=0059 avg_reward=+0.2642 avg_value=+26.4262 policy_loss=1.7698 value_loss=0.6895 entropy=101.7076
update=0060 avg_reward=+0.2648 avg_value=+26.4403 policy_loss=1.8290 value_loss=0.3093 entropy=101.9127
update=0061 avg_reward=+0.2653 avg_value=+26.4573 policy_loss=1.8048 value_loss=0.2492 entropy=102.1155
update=0062 avg_reward=+0.2655 avg_value=+26.4597 policy_loss=0.6952 value_loss=0.4086 entropy=102.2801
update=0063 avg_reward=+0.2656 avg_value=+26.4770 policy_loss=2.2033 value_loss=0.4142 entropy=102.4772
update=0064 avg_reward=+0.2614 avg_value=+26.4928 policy_loss=0.6609 value_loss=0.5713 entropy=102.7587
